eg,chemsys,nelements,formula
4.2316,C-H-Zn,3,Zn(H3C)2
4.1572,C-H-Zn,3,Zn(H3C)2
3.8777,H-N-Zn,3,Zn(H4N5)2
2.0019,H-O-Zn,3,Zn(HO)2
2.0603,H-O-Zn,3,Zn(HO)2
2.4257,H-O-Zn,3,Zn(HO)2
2.5002,H-O-Zn,3,Zn(HO)2
2.6221,H-O-Zn,3,Zn(HO)2
2.9697,H-O-Zn,3,Zn(HO)2
3.2054,H-O-Zn,3,Zn(HO)2
2.8829,H-O-Zn,3,Zn(HO)2
3.2597,I-O-Zn,3,Zn(IO3)2
0.0,Au-In-Zn,3,Zn(InAu4)3
0.0,In-S-Zn,3,Zn(InS2)2
1.1222000000000003,In-S-Zn,3,Zn(InS2)2
0.1074000000000001,In-S-Zn,3,Zn(InS2)2
0.0,In-S-Zn,3,Zn(InS2)2
0.1358000000000001,In-S-Zn,3,Zn(InS2)2
0.1307000000000004,In-S-Zn,3,Zn(InS2)2
0.5655999999999994,In-S-Zn,3,Zn(InS2)2
1.4023999999999996,In-S-Zn,3,Zn(InS2)2
0.0318,In-Se-Zn,3,Zn(InSe2)2
0.9929,In-Se-Zn,3,Zn(InSe2)2
0.8613,In-Se-Zn,3,Zn(InSe2)2
0.0,In-Se-Zn,3,Zn(InSe2)3
0.8291,In-Te-Zn,3,Zn(InTe2)2
0.3452000000000002,Ir-O-Zn,3,Zn(IrO2)2
0.7584,Mo-O-Zn,3,Zn(Mo3O8)2
1.5260999999999996,Mo-O-Zn,3,Zn(MoO2)2
0.0,Mo-O-Zn,3,Zn(MoO2)2
0.0,Mo-O-Zn,3,Zn(MoO2)2
0.0,Mo-O-Zn,3,Zn(MoO2)2
0.9432,Mo-O-Zn,3,Zn(MoO2)2
0.0,Mo-O-Zn,3,Zn(MoO2)2
0.0,Mo-O-Zn,3,Zn(MoO2)2
0.0,Mo-O-Zn,3,Zn(MoO2)2
0.0,Mo-O-Zn,3,Zn(MoO2)2
0.0,Mo-O-Zn,3,Zn(MoO2)4
0.2307999999999999,Mo-O-Zn,3,Zn(MoO2)4
0.0,Mo-O-Zn,3,Zn(MoO2)4
0.6673,Mo-O-Zn,3,Zn(MoO3)2
0.1687000000000003,Mo-Se-Zn,3,Zn(MoSe2)2
0.7434000000000001,Cl-N-Zn,3,Zn(NCl)2
1.4497,F-N-Zn,3,Zn(NF2)2
3.406,N-O-Zn,3,Zn(NO3)2
0.0,N-O-Zn,3,Zn(NO4)2
0.0,Ni-O-Zn,3,Zn(Ni2O3)2
0.0,Ni-O-Zn,3,Zn(Ni2O5)2
0.0,N-Ni-Zn,3,Zn(NiN)2
0.0,Ni-O-Zn,3,Zn(NiO2)2
0.0,Ni-O-Zn,3,Zn(NiO2)2
0.0,Ni-O-Zn,3,Zn(NiO2)2
