ID,composition,source,temperature,target,family,ChemicalFamily,0
188.0,"""(Li2S)0.5 ((Ga2S3)0.1 (GeS2)0.9)0.5""",10.1016/j.ssi.2007.10.011,215.0,0.0335,Glass,Sulphides,
189.0,"""(Li2S)0.4 ((Ga2S3)0.1 (GeS2)0.9)0.6""",10.1016/j.ssi.2007.10.011,21.0,2.87e-06,Glass,Sulphides,
190.0,"""(Li2S)0.4 ((Ga2S3)0.1 (GeS2)0.9)0.6""",10.1016/j.ssi.2007.10.011,205.0,0.0119,Glass,Sulphides,
191.0,Li5Nd3Sb2O12,10.1016/j.ssi.2008.01.002,207.0,0.00139,Garnet,,
192.0,Li5La3Sb2O12,10.1016/j.ssi.2008.01.002,207.0,0.00116,Garnet,,
193.0,Li5La3Sb2O12,10.1016/j.ssi.2008.01.002,131.0,0.000195,Garnet,,
194.0,Li5Nd3Sb2O12,10.1016/j.ssi.2008.01.002,133.0,0.000123,Garnet,,
195.0,Li5La3Sb2O12,10.1016/j.ssi.2008.01.002,89.0,1.32e-05,Garnet,,
196.0,Li5Nd3Sb2O12,10.1016/j.ssi.2008.01.002,68.0,2.76e-06,Garnet,,
197.0,Li6La2SrNb2O12,10.1016/j.ssi.2008.01.047,25.0,6.21e-07,Garnet,Oxides,
198.0,Li6La2SrNb2O12,10.1016/j.ssi.2008.01.047,100.0,0.00268,Garnet,,
199.0,Li6La2CaNb2O12,10.1016/j.ssi.2008.01.047,154.0,7.82e-05,Garnet,,
200.0,Li6La2CaNb2O12,10.1016/j.ssi.2008.01.047,99.0,3e-05,Garnet,,
201.0,Li6La2SrNb2O12,10.1016/j.ssi.2008.01.047,47.0,3.13e-05,Garnet,,
207.0,Li0.1Na0.1La0.6TiO3,10.1016/j.ssi.2008.03.015,223.0,0.00416,Perovskite,,
208.0,Li0.1Na0.1La0.6TiO3,10.1016/j.ssi.2008.03.015,184.0,0.00276,Perovskite,,
209.0,Li0.1Na0.1La0.6TiO3,10.1016/j.ssi.2008.03.015,135.0,0.00117,Perovskite,,
210.0,Li0.1Na0.1La0.6TiO3,10.1016/j.ssi.2008.03.015,75.0,0.000278,Perovskite,,
211.0,Li0.1Na0.1La0.6TiO3,10.1016/j.ssi.2008.03.015,34.0,6.15e-05,Perovskite,Oxides,
212.0,LiPO3,10.1016/j.ssi.2008.04.015,170.0,5.89e-06,Glass,,
213.0,Li0.5La0.5TiO3,10.1016/j.ssi.2008.08.013,90.0,0.00031,Perovskite,,
214.0,Li0.5La0.5TiO3,10.1016/j.ssi.2008.08.013,55.0,0.000146,Perovskite,,
215.0,Li0.5La0.5TiO3,10.1016/j.ssi.2008.08.013,15.0,2.78e-05,Perovskite,Oxides,
216.0,Li6BaLa2Ta2O12 ,10.1016/j.ssi.2008.10.022,168.0,0.00227,Garnet,,
217.0,Li6CaLa2Ta2O12,10.1016/j.ssi.2008.10.022,175.0,0.00105,Garnet,,
218.0,Li6BaLa2Ta2O12 ,10.1016/j.ssi.2008.10.022,85.0,0.000225,Garnet,,
219.0,Li6CaLa2Ta2O12,10.1016/j.ssi.2008.10.022,87.0,6.61e-05,Garnet,,
220.0,Li6BaLa2Ta2O12 ,10.1016/j.ssi.2008.10.022,25.0,1.28e-05,Garnet,Oxides,
221.0,Li6CaLa2Ta2O12,10.1016/j.ssi.2008.10.022,27.0,2.24e-06,Garnet,Oxides,
222.0,LiAlSi2O6,10.1016/j.ssi.2009.02.028,174.0,6.67e-06,Glass,,
223.0,LiAlSi2O6,10.1016/j.ssi.2009.02.028,128.0,1.08e-06,Glass,,
224.0,LiAlSi2O6,10.1016/j.ssi.2009.02.028,58.0,1.69e-08,Glass,,
225.0,Li7La3Ta2O13,10.1016/j.ssi.2009.07.002,121.0,6.85e-05,Garnet,,
226.0,Li7La3Ta2O13,10.1016/j.ssi.2009.07.002,90.0,2.76e-05,Garnet,,
227.0,Li7La3Ta2O13,10.1016/j.ssi.2009.07.002,60.0,9.33e-06,Garnet,,
228.0,Li7La3Ta2O13,10.1016/j.ssi.2009.07.002,30.0,2.65e-06,Garnet,Oxides,
230.0,Li0.5La0.5TiO3,10.1016/j.ssi.2009.08.002,134.0,0.00376,Perovskite,,
231.0,Li0.5La0.5TiO3,10.1016/j.ssi.2009.08.002,118.0,0.0028,Perovskite,,
232.0,Li0.5La0.5TiO3,10.1016/j.ssi.2009.08.002,102.0,0.00193,Perovskite,,
233.0,Li0.5La0.5TiO3,10.1016/j.ssi.2009.08.002,72.0,0.000602,Perovskite,,
234.0,Li0.5La0.5TiO3,10.1016/j.ssi.2009.08.002,44.0,0.000159,Perovskite,,
235.0,Li0.24La0.59TiO3,10.1016/j.ssi.2009.08.002,29.0,7.6e-05,Perovskite,Oxides,
236.0,Li0.5La0.5TiO3,10.1016/j.ssi.2009.08.002,19.0,5.61e-05,Perovskite,Oxides,
237.0,Li5La3Ta2O12,10.1016/j.ssi.2009.11.015,60.0,1.52e-05,Garnet,,
238.0,Li5La3Ta2O12,10.1016/j.ssi.2009.11.015,50.0,8.39e-06,Garnet,,
239.0,Li5La3Ta2O12,10.1016/j.ssi.2009.11.015,25.0,1.51e-06,Garnet,Oxides,
240.0,"""(Li2O)16.6 (SiO2)83.4""",10.1016/S0022-3093(99)00688-2,179.0,2.77e-06,Glass,,
241.0,"""(Li2O)16.6 (SiO2)83.4""",10.1016/S0022-3093(99)00688-2,135.0,3.53e-07,Glass,,
242.0,"""(Li2O)16.6 (SiO2)83.4""",10.1016/S0022-3093(99)00688-2,90.0,3.21e-08,Glass,,
243.0,Li4.2Ge0.8Ga0.2S4,10.1016/S0167-2738(00)00277-0,202.0,0.00539,Thio-LISICON,,
244.0,Li4.2Ge0.8Ga0.2S4,10.1016/S0167-2738(00)00277-0,125.0,0.00179,Thio-LISICON,,
245.0,Li4.2Ge0.8Ga0.2S4,10.1016/S0167-2738(00)00277-0,74.0,0.000415,Thio-LISICON,,
246.0,Li4.2Ge0.8Ga0.2S4,10.1016/S0167-2738(00)00277-0,25.0,6.5e-05,Thio-LISICON,Sulphides,
247.0,Li1.076Al0.6923Ti1.462(PO4)3,10.1016/S0167-2738(97)00018-0,58.0,0.00374,NASICON,,
248.0,Li1.076Al0.6923Ti1.462(PO4)3,10.1016/S0167-2738(97)00018-0,21.0,0.000825,NASICON,Oxides,
