functional group,A,A_OS,A',A'_OS,A_HOMO-,A_HOMO+,A_IE-,A_IE+,A_LUMO-,A_LUMO+,A_X-,A_X+,A_Z_radii-,A_Z_radii+,A_e_affin-,A_e_affin+,Bi,B_OS,B',B'_OS,B_HOMO-,B_HOMO+,B_IE-,B_IE+,B_LUMO-,B_LUMO+,B_X-,B_X+,B_Z_radii-,B_Z_radii+,B_e_affin-,B_e_affin+,Insulator,PBE band gap,μ,μĀ,μ𝐵 ̅,stable,t
TlBaMnInO6,Tl,3,Ba,2,0.433999999999999,-2.801,43.1999999999999,546.099999999999,0.732499999999999,-1.29349999999999,0.365,1.255,0.5835,2.8185,8.465,22.415,Mn,4,In,0.964,0.964,-3.48,79.55,637.849999999999,0.2845,-0.7765,0.114999999999999,1.665,0.0850000000000001,2.135,43.5215,-6.4785,0,0.0,0.475,0.14286,0.09643,1,0.96221
TlBaMoCaO6,Tl,3,Ba,2,0.433999999999999,-2.801,43.1999999999999,546.099999999999,0.732499999999999,-1.29349999999999,0.365,1.255,0.5835,2.8185,8.465,22.415,Mo,5,Ca,0.233,0.233,-4.00099999999999,47.55,637.349999999999,1.0655,-3.01349999999999,0.58,1.58,0.139999999999999,2.86,34.815,37.185,0,0.0,0.575,0.14286,0.13929,1,0.90112
TlBaMoCdO6,Tl,3,Ba,2,0.433999999999999,-2.801,43.1999999999999,546.099999999999,0.732499999999999,-1.29349999999999,0.365,1.255,0.5835,2.8185,8.465,22.415,Mo,5,Cd,0.712499999999999,0.712499999999999,-4.9465,91.4,776.3,1.44899999999999,-2.63,0.235,1.925,0.2525,2.4675,70.0,2.0,0,0.0,0.55714,0.14286,0.12143,1,0.91145
TlBaNbYO6,Tl,3,Ba,2,0.433999999999999,-2.801,43.1999999999999,546.099999999999,0.732499999999999,-1.29349999999999,0.365,1.255,0.5835,2.8185,8.465,22.415,Nb,4,Y,1.0275,1.0275,-3.5895,24.0999999999999,639.7,1.03999999999999,-3.47199999999999,0.19,1.41,0.09,2.84999999999999,28.3,57.9,0,0.0,0.56429,0.14286,0.07857,1,0.90729
TlBaReAuO6,Tl,3,Ba,2,0.433999999999999,-2.801,43.1999999999999,546.099999999999,0.732499999999999,-1.29349999999999,0.365,1.255,0.5835,2.8185,8.465,22.415,Re,4,Au,0.187999999999999,0.187999999999999,-5.572,64.9,825.2,2.2955,-3.0595,0.32,2.21999999999999,0.01,2.67,108.4865,114.3135,0,0.0152000000000001,0.52857,0.14286,0.07857,1,0.92849
TlBaTaAuO6,Tl,3,Ba,2,0.433999999999999,-2.801,43.1999999999999,546.099999999999,0.732499999999999,-1.29349999999999,0.365,1.255,0.5835,2.8185,8.465,22.415,Ta,4,Au,1.05399999999999,1.05399999999999,-4.70599999999999,64.4,825.7,1.391,-2.155,0.52,2.02,0.0649999999999999,2.725,95.9,126.9,0,0.0,0.54643,0.14286,0.06071,1,0.91777
TlBaTiAuO6,Tl,3,Ba,2,0.433999999999999,-2.801,43.1999999999999,546.099999999999,0.732499999999999,-1.29349999999999,0.365,1.255,0.5835,2.8185,8.465,22.415,Ti,4,Au,0.695999999999999,0.695999999999999,-5.064,116.05,774.05,1.7315,-2.4955,0.5,2.04,0.04,2.62,107.6,115.2,0,0.00130000000000007,0.51964,0.14286,0.0875,1,0.93395
TlBaWAlO6,Tl,3,Ba,2,0.433999999999999,-2.801,43.1999999999999,546.099999999999,0.732499999999999,-1.29349999999999,0.365,1.255,0.5835,2.8185,8.465,22.415,W,4,Al,0.897999999999999,0.897999999999999,-3.609,96.1999999999999,673.8,1.982,-2.426,0.374999999999999,1.98499999999999,0.529999999999999,2.205,17.2999999999999,61.3,1,1.2247,0.42679,0.14286,0.04464,1,0.99473
TlBaZrAuO6,Tl,3,Ba,2,0.433999999999999,-2.801,43.1999999999999,546.099999999999,0.732499999999999,-1.29349999999999,0.365,1.255,0.5835,2.8185,8.465,22.415,Zr,4,Au,1.04599999999999,1.04599999999999,-4.714,115.05,775.05,1.37199999999999,-2.136,0.605,1.935,0.0825,2.7425,90.85,131.95,0,0.0,0.56071,0.14286,0.04643,1,0.90937
TlBaZrMnO6,Tl,3,Ba,2,0.433999999999999,-2.801,43.1999999999999,546.099999999999,0.732499999999999,-1.29349999999999,0.365,1.255,0.5835,2.8185,8.465,22.415,Zr,4,Mn,0.387999999999999,0.387999999999999,-4.056,28.6999999999999,688.7,1.2235,-2.2845,0.109999999999999,1.44,0.3025,2.5225,45.55,-4.44999999999999,0,0.0,0.4875,0.14286,0.02679,1,0.95413
TlBaZrTiO6,Tl,3,Ba,2,0.433999999999999,-2.801,43.1999999999999,546.099999999999,0.732499999999999,-1.29349999999999,0.365,1.255,0.5835,2.8185,8.465,22.415,Zr,4,Ti,0.35,0.35,-4.018,1.0,659.0,0.3595,-3.8675,0.104999999999999,1.435,0.1225,2.7025,16.75,24.35,0,0.000799999999999911,0.49643,0.14286,0.01786,1,0.94843
TlBrO3,Tl,1,Tl,1,0.0,-2.367,0.0,589.3,0.0,-0.561,0.0,1.62,0.0,2.235,0.0,30.88,Br,5,Br,0.0,0.0,-7.858,0.0,1139.9,0.0,-0.503,0.0,2.96,0.0,1.2,0.0,324.7,0,0.0,0.44286,0.0,0.0,0,1.08516
TlCaHfCoO6,Tl,3,Ca,2,0.700499999999999,-3.0675,0.25,589.55,0.6935,-1.2545,0.31,1.31,0.3825,2.61749999999999,14.2549999999999,16.625,Hf,4,Co,0.829,0.829,-3.607,41.5,716.9,0.967,-1.807,0.289999999999999,1.58999999999999,0.445,2.465,23.4,40.4,0,0.0,0.47143,0.04643,0.03571,1,0.91821
TlCaHfFeO6,Tl,3,Ca,2,0.700499999999999,-3.0675,0.25,589.55,0.6935,-1.2545,0.31,1.31,0.3825,2.61749999999999,14.2549999999999,16.625,Hf,4,Fe,0.828,0.828,-3.606,41.9499999999999,717.349999999999,0.9155,-1.8585,0.265,1.565,0.4,2.51,0.65,16.35,0,0.0,0.48393,0.04643,0.02321,1,0.91047
TlCaHfMnO6,Tl,3,Ca,2,0.700499999999999,-3.0675,0.25,589.55,0.6935,-1.2545,0.31,1.31,0.3825,2.61749999999999,14.2549999999999,16.625,Hf,4,Mn,0.833,0.833,-3.61099999999999,21.0,696.4,0.8565,-1.9175,0.125,1.425,0.345,2.565,33.5,-16.5,0,0.0,0.48393,0.04643,0.02321,1,0.91047
TlCaHfNiO6,Tl,3,Ca,2,0.700499999999999,-3.0675,0.25,589.55,0.6935,-1.2545,0.31,1.31,0.3825,2.61749999999999,14.2549999999999,16.625,Hf,4,Ni,0.84,0.84,-3.618,30.65,706.05,1.0135,-1.7605,0.304999999999999,1.605,0.365,2.545,47.5,64.5,0,0.0,0.46786,0.04643,0.03929,1,0.92044
TlCaPtTaO6,Tl,3,Ca,2,0.700499999999999,-3.0675,0.25,589.55,0.6935,-1.2545,0.31,1.31,0.3825,2.61749999999999,14.2549999999999,16.625,Pt,4,Ta,0.8125,0.8125,-4.4645,53.55,814.849999999999,1.427,-2.11899999999999,0.389999999999999,1.89,0.0449999999999999,2.745,87.15,118.15,0,0.2879,0.48036,0.04643,0.03393,1,0.91267
TlCaSeYbO6,Tl,3,Ca,2,0.700499999999999,-3.0675,0.25,589.55,0.6935,-1.2545,0.31,1.31,0.3825,2.61749999999999,14.2549999999999,16.625,Se,4,Yb,1.7405,1.7405,-4.7695,168.75,772.15,0.2895,-0.8105,0.724999999999999,1.825,1.15249999999999,2.4375,98.465,96.535,0,0.0163000000000002,0.48857,0.04643,0.13143,1,0.90763
TlCaWGaO6,Tl,3,Ca,2,0.700499999999999,-3.0675,0.25,589.55,0.6935,-1.2545,0.31,1.31,0.3825,2.61749999999999,14.2549999999999,16.625,W,4,Ga,0.964999999999999,0.964999999999999,-3.542,95.6,674.4,1.9575,-2.4505,0.274999999999999,2.085,0.519999999999999,2.215,24.2999999999999,54.3,1,1.3789,0.45714,0.04643,0.01429,1,0.92721
TlCdHfCoO6,Tl,3,Cd,2,1.646,-4.013,139.2,728.5,0.31,-0.871,0.0349999999999999,1.655,0.01,2.22499999999999,49.44,-18.56,Hf,4,Co,0.829,0.829,-3.607,41.5,716.9,0.967,-1.807,0.289999999999999,1.58999999999999,0.445,2.465,23.4,40.4,0,0.0,0.47143,0.03571,0.03571,1,0.91306
TlCdHfNiO6,Tl,3,Cd,2,1.646,-4.013,139.2,728.5,0.31,-0.871,0.0349999999999999,1.655,0.01,2.22499999999999,49.44,-18.56,Hf,4,Ni,0.84,0.84,-3.618,30.65,706.05,1.0135,-1.7605,0.304999999999999,1.605,0.365,2.545,47.5,64.5,0,0.0,0.46786,0.03571,0.03929,1,0.91528
TlCdWAlO6,Tl,3,Cd,2,1.646,-4.013,139.2,728.5,0.31,-0.871,0.0349999999999999,1.655,0.01,2.22499999999999,49.44,-18.56,W,4,Al,0.897999999999999,0.897999999999999,-3.609,96.1999999999999,673.8,1.982,-2.426,0.374999999999999,1.98499999999999,0.529999999999999,2.205,17.2999999999999,61.3,0,0.0,0.42679,0.03571,0.04464,1,0.94163
TlCdWGaO6,Tl,3,Cd,2,1.646,-4.013,139.2,728.5,0.31,-0.871,0.0349999999999999,1.655,0.01,2.22499999999999,49.44,-18.56,W,4,Ga,0.964999999999999,0.964999999999999,-3.542,95.6,674.4,1.9575,-2.4505,0.274999999999999,2.085,0.519999999999999,2.215,24.2999999999999,54.3,0,0.0,0.45714,0.03571,0.01429,1,0.92201
TlCdWMgO6,Tl,3,Cd,2,1.646,-4.013,139.2,728.5,0.31,-0.871,0.0349999999999999,1.655,0.01,2.22499999999999,49.44,-18.56,W,5,Mg,0.0995000000000003,0.0995000000000003,-4.6065,16.1499999999999,753.85,1.54,-2.868,0.524999999999999,1.835,0.3525,2.3825,59.3,19.2999999999999,0,0.0243999999999999,0.47857,0.03571,0.03571,1,0.90865
TlCeWMgO6,Tl,3,Ce,3,1.1835,-1.1835,30.75,558.55,0.2805,-0.2805,0.25,1.37,1.1325,3.36749999999999,9.56,40.44,W,4,Mg,0.0995000000000003,0.0995000000000003,-4.6065,16.1499999999999,753.85,1.54,-2.868,0.524999999999999,1.835,0.3525,2.3825,59.3,19.2999999999999,0,0.0632999999999999,0.49286,0.07,0.02143,1,0.91619
TlCoO3,Tl,3,Tl,3,0.0,-2.367,0.0,589.3,0.0,-0.561,0.0,1.62,0.0,2.235,0.0,30.88,Co,3,Co,0.0,0.0,-4.436,0.0,758.4,0.0,-0.84,0.0,1.88,0.0,2.02,0.0,63.8,0,0.0,0.43571,0.0,0.0,1,0.91818
TlCrO3,Tl,1,Tl,1,0.0,-2.367,0.0,589.3,0.0,-0.561,0.0,1.62,0.0,2.235,0.0,30.88,Cr,5,Cr,0.0,0.0,-4.417,0.0,652.8,0.0,-4.352,0.0,1.66,0.0,2.44,0.0,64.3,0,0.0,0.35,0.0,0.0,1,1.1598
